town,county,issue,town_grouping,name_change,source,me_town_id,,
Franklin,Otsego,distinct town,Franklin_A,,AHCB and County History,ME-NY0148,,
Franklin,Duchess,distinct town,Franklin_B,Name Change 1808 to Patterson,AHCB and County History,ME-NY0334,,
Franklin,Dutchess,distinct town,Franklin_B,Name Change 1808 to Patterson,AHCB and County History,ME-NY0334,,
Franklin,N/A,distinct town,Franklin_B,Name Change 1808 to Patterson,AHCB and County History,ME-NY0334,,
Frederickstown,Steuben,distinct town,Frederickstown_A,Name Change 1808 to Wayne,Vasiliev,ME-NY0491,,
Fredericktown,Steuben,spelling error/distinct town,Frederickstown_A,Name Change 1808 to Wayne,Vasiliev,ME-NY0491,,
Frederick,Dutchess,spelling error/distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Frederick,Duchess,spelling error/distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Frederick,N/A,spelling error/distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Frederick Town,Dutchess,spelling error/distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Fredericks,Duchess,distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Fredericks,Dutchess,distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Fredericks,N/A,distinct town,Frederickstown_B,Name Change 1817 to Kent,"GNIS, AHCB, and County History",ME-NY0221,,
Fredericktown,Dutchess,spelling error/distinct town,Frederickstown_B,"Name Change 1795 to Fredericks, 1817 to Kent","GNIS, AHCB, and County History",ME-NY0221,,
Harrison,Westchester,distinct town,Harrison_A,,Vasiliev,ME-NY0183,,
Harrison,Westchester (Lower),distinct town,Harrison_A,,Vasiliev,ME-NY0183,,
Harrison,Jefferson,distinct town,Harrison_B,Name Change 1808 to Rodman,"GNIS, Vasiliev",ME-NY0382,,
Harrison,Jefferson and Lewis,distinct town,Harrison_B,Name Change 1808 to Rodman,"GNIS, Vasiliev",ME-NY0382,,
Harftord,Ontario,spelling error/distinct town,Hartford_A,Name Change 1808 to Avon,"GNIS, AHCB, Vasiliev",ME-NY0523,,
Hartford,Ontario,distinct town,Hartford_A,Name Change 1808 to Avon,"GNIS, AHCB, Vasiliev",ME-NY0523,,
Hartford,Ontario and Genessee,distinct town,Hartford_A,Name Change 1808 to Avon,"GNIS, AHCB, Vasiliev",ME-NY0523,,
Hartford,Washington,distinct town,Hartford_B,,Vasiliev,ME-NY0184,,
Hempstead,Orange,distinct town,Hempstead_A,"Name Change 1797 to Hempstead, 1828 to Ramapo","GNIS, Vasiliev",ME-NY0427,,
Hempstead,Richmond,Error in the County field; election id correctly notes Rockland,Hempstead_A,"Name Change 1797 to Hempstead, 1828 to Ramapo","GNIS, Vasiliev",ME-NY0427,,
Hempstead,Rockland,distinct town,Hempstead_A,"Name Change 1797 to Hempstead, 1828 to Ramapo","GNIS, Vasiliev",ME-NY0427,,
New Hempstead,Orange,distinct town,Hempstead_A,"Name Change 1797 to Hempstead, 1828 to Ramapo","GNIS, Vasiliev",ME-NY0427,,
Hempstead,Queens,distinct town,Hempstead_B,,,ME-NY0190,,
Hempsted,Queens,spelling error/distinct town,Hempstead_B,,,ME-NY0190,,
South Hempstead,Queens,distinct town,Hempstead_B,Name Change 1796 to Hempstead,Vasiliev,ME-NY0190,,
South Hempsted,Queens,spelling error/distinct town,Hempstead_B,Name Change 1796 to Hempstead,Vasiliev,ME-NY0190,,
Jefferson,Schoharie,distinct town,Jefferson_A,,,ME-NY0215,,
Jefferson,Schenectady,Error in the County field; NNV online correctly notes Schoharie,Jefferson_A,,,ME-NY0215,,
Jefferson,Cayuga,distinct town,Jefferson_B,Name Change 1808 to Mentz,County History,ME-NY0265,,
Jefferson,N/A,distinct town,Jefferson_B,name Change 1808 to Mentz,County History,ME-NY0265,,
Lyden,Kings,Error in the County field; election id correctly notes Lewis,Leyden_A,,,,,
Lowville,Kings,Error in the County field; election id correctly notes Lewis,Lowville_A,,,,,
Malta,Saratoga,distinct town,Malta_A,,,ME-NY0253,,
Malta,Jefferson and Lewis,distinct town,Malta_B,Name Change 1808 to Lorraine,"Vasiliev, County History",ME-NY0245,,
Malta,Jefferson,distinct town,Malta_B,Name Change 1808 to Lorraine,"Vasiliev, County History",ME-NY0245,,
Malta,N/A,distinct town,Malta_A,,,ME-NY0253,,
Middleton,Delaware,spelling error/distinct town,Middletown_A,,AHCB,ME-NY0270,,
Middletown,Delaware,distinct town,Middletown_A,,AHCB,ME-NY0270,,
Middletown,Ulster,distinct town,Middletown_A,,AHCB,ME-NY0270,,
Middletown,Steuben,distinct town,Middletown_B,Name Change 1808 to Addison,"GNIS, Vasiliev",ME-NY0002,,
Middletown,Ontario,distinct town,Middletown_C,Name Change 1808 to Naples,Vasiliev,ME-NY0524,,
Middletown,Ontario and Genessee,distinct town,Middletown_C,Name Change 1808 to Naples,Vasiliev,ME-NY0524,,
Milton,Saratoga,distinct town,Milton_A,,,ME-NY0156,,
Milton,N/A,distinct town,Milton_A&B - ISSUE,Name Change 1808 to Genoa,,,,
Milton,Cayuga,distinct town,Milton_B,Name Change 1808 to Genoa,AHCB,ME-NY0525,,
Milton,Onodaga,distinct town,Milton_B,Name Change 1808 to Genoa,AHCB,ME-NY0525,,
Milton,Onondaga,distinct town,Milton_B,Name Change 1808 to Genoa,AHCB,ME-NY0525,,
New Town,Queens,spelling error/distinct town,Newtown_A,Name Change 1896 to Elmhurst,"GNIS, Vasiliev",ME-NY0526,,
Newton,Queens,spelling error/distinct town,Newtown_A,Name Change 1896 to Elmhurst,"GNIS, Vasiliev",ME-NY0526,,
Newtown,Queens,distinct town,Newtown_A,Name Change 1896 to Elmhurst,"GNIS, Vasiliev",ME-NY0526,,
Newtown,N/A,distinct town,Newtown_A,Name Change 1896 to Elmhurst,"GNIS, Vasiliev",ME-NY0526,,
New Town,Tioga,spelling error/distinct town,Newtown_B,Name Change 1808 to Elmira,"GNIS, Vasiliev",ME-NY0299,,
Newtown,Tioga,distinct town,Newtown_B,Name Change 1808 to Elmira,"GNIS, Vasiliev",ME-NY0299,,
Northampton,Suffolk,distinct town,Northampton_A,,,ME-NY0527,,
Northampton,Montgomery,distinct town,Northampton_B,,,ME-NY0306,,
Northampton,N/A,distinct town,Northampton_B,,,ME-NY0306,,
Northampton,Genesee,distinct town,Northampton_C,? Name Change 1812 to Gates,"GNIS, Vasiliev",ME-NY0154,,
Northampton,Genesse,distinct town,Northampton_C,? Name Change 1812 to Gates,"GNIS, Vasiliev",ME-NY0154,,
Northampton,Ontario,distinct town,Northampton_C,? Name Change 1812 to Gates,"GNIS, Vasiliev",ME-NY0154,,
Northampton,Ontario and Genessee,distinct town,Northampton_C,? Name Change 1812 to Gates,"GNIS, Vasiliev",ME-NY0154,,
Northfield,Saratoga,distinct town,Northfield_A,Name Change 1808 to Edinburg,"GNIS, Vasiliev",ME-NY0126,,
Northfield,N/A,distinct town,Northfield_A&B - ISSUE,,,,,
Northfield,Richmond,distinct town,Northfield_B,Dissolved 1898 into City of New York,County History,ME-NY0307,,
Northfield,Ontario,distinct town,Northfield_C,"Name Change 1808 to Boyle, 1814 to Pittsford (town carved up)",County History,ME-NY0347,,
Northfield,Ontario and Genessee,distinct town,Northfield_C,"Name Change 1808 to Boyle, 1814 to Pittsford (town carved up)",,ME-NY0347,,
Orange,Orange,distinct town,Orange_A,Actually Orangetown,,ME-NY0317,,
Orange,Richmond,distinct town,Orange_A,Actually Orangetown,,ME-NY0317,,
Orange,Rockland,distinct town,Orange_A,Actually Orangetown,,ME-NY0317,,
Orange,Saratoga,distinct town,Orange_B,Name Change 1820 to Halfmoon,"GNIS, Vasiliev",ME-NY0175,,
Pittsfield,Otsego,distinct town,Pittsfield_A,,,ME-NY0346,,
Pittsfield,Monroe,Error in town name/distinct town,Pittsford_A,,"Vasiliev, AHCB, comparative online NNV",ME-NY0347,,
Pittstown,Ontario,distinct town,Pittstown_A,Name Change 1815 to Richmond,"County History, GNIS",ME-NY0528,,
Pittstown,Ontario and Genessee,distinct town,Pittstown_A,Name Change 1815 to Richmond,"County History, GNIS",ME-NY0528,,
Pittstown,Albany,distinct town,Pittstown_B,,,ME-NY0348,,
Pittstown,E. Albany,distinct town,Pittstown_B,,,ME-NY0348,,
Pittstown,Rennselaer,distinct town,Pittstown_B,,,ME-NY0348,,
Pittstown,Rensselaer,distinct town,Pittstown_B,,,ME-NY0348,,
Pittstown,N/A,distinct town,Pittstown_B,,,ME-NY0348,,
Richfield,Oneida,is redfield/distinct town,Redfield_A,,,ME-NY0370,,
Richfield,Otsego,distinct town,Richfield_A,,,ME-NY0376,,
Richfield,Ostego,distinct town,Richfield_A,,,ME-NY0376,,
Salem,Washington,distinct town,Salem_A,,,ME-NY0393,,
Salem,Westchester,distinct town,Salem_B,"Name Change 1806 to South Salem, 1840 to Lewisboro",County History,ME-NY0529,,
Salem,Westchester (Lower),distinct town,Salem_B,"Name Change 1806 to South Salem, 1840 to Lewisboro",County History,ME-NY0529,,
Southampton,Suffolk,distinct town,Southampton_A,,,ME-NY0429,,
Southampton,Genesee,distinct town,Southampton_B,Name Change 1806 to Caledonia,"GNIS, Vasiliev",ME-NY0049,,
Southampton,N/A,distinct town,Southampton_A,,,ME-NY0429,,
Stephen,Westchester,spelling error/distinct town,Stephentown_A,Name Change 1808 to Somers,"GNIS, Vasiliev",ME-NY0426,,
Stephen Town,Westchester,spelling error/distinct town,Stephentown_A,Name Change 1808 to Somers,"GNIS, Vasiliev",ME-NY0426,,
Stephen-Town,Westchester,spelling error/distinct town,Stephentown_A,Name Change 1808 to Somers,"GNIS, Vasiliev",ME-NY0426,,
Stephentown,Westchester,distinct town,Stephentown_A,Name Change 1808 to Somers,"GNIS, Vasiliev",ME-NY0426,,
Stephentown,Westchester (Upper),distinct town,Stephentown_A,Name Change 1808 to Somers,"GNIS, Vasiliev",ME-NY0426,,
Stephen Town,Rensselaer,spelling error/distinct town,Stephentown_B,,,ME-NY0440,,
Stephenstown,Rensselaer,spelling error/distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,Albany (East),distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,E. Albany,distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,Ontario,distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,Rennselaer,distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,Rensselaer,distinct town,Stephentown_B,,,ME-NY0440,,
Stephentown,N/A,distinct town,Stephentown_B,,,ME-NY0440,,
Stevenstown,Rensselaer,spelling error/distinct town,Stephentown_B,,,ME-NY0440,,
Steventown,Albany,spelling error/distinct town,Stephentown_B,,,ME-NY0440,,
Steventown,Rensselaer,spelling error/distinct town,Stephentown_B,,,ME-NY0440,,
Vernon,Oneida,distinct town,Vernon_A,,,ME-NY0475,,
Vernon,Ontario,distinct town,Vernon_B,"Name Change 1808 to Snell, 1810 to Benton","GNIS, Vasiliev",ME-NY0530,,
Walkill,Ulster,spelling error/distinct town,Wallkill_A,,Vasiliev,ME-NY0480,,
Wall Kill,Ulster,spelling error/distinct town,Wallkill_A,,Vasiliev,ME-NY0480,,
Wallkill,Orange,distinct town,Wallkill_B,,GNIS,ME-NY0531,,
Wallkill,Orange County,distinct town,Wallkill_B,,GNIS,ME-NY0531,,
Wallkill,Ulster,distinct town,Wallkill_A,,Vasiliev,ME-NY0480,,
Washingnton,Dutchess,spelling error/distinct town,Washington_A,,,ME-NY0486,,
Washington,Duchess,distinct town,Washington_A,,,ME-NY0486,,
Washington,Dutchess,distinct town,Washington_A,,,ME-NY0486,,
Washington,Dutchess (Part),distinct town,Washington_A,,,ME-NY0486,,
Washington,N/A,distinct town,Washington_A&B - ISSUE,,,,,
Washington,Cayuga,distinct town,Washington_B,Name Change 1808 to Fayette,"GNIS, Vasiliev",ME-NY0137,,
Washington,Seneca,distinct town,Washington_B,Name Change 1808 to Fayette,"GNIS, Vasiliev",ME-NY0137,,
Westfield,Richmond,distinct town,Westfield_A,Dissolved 1898 into City of New York,,ME-NY0532,,
Westfield,Washington,distinct town,Westfield_B,Name Change 1808 to Fort Ann,Vasiliev,ME-NY0496,,
Westfield,N/A,distinct town,Westfield_A&B - ISSUE,,,,,
Williamstown,Ontario,spelling error/distinct town,Williamsburg_A,Eventually declared extinct; located in Groveland,County History,ME-NY0533,,
Williamstown,Oneida,distinct town,Williamstown_A,,,ME-NY0505,,
Bushwick,Kings,neighborhood in Brooklyn borough,,,,,,
Bushwyck,Kings,spelling error/neighborhood in Brooklyn borough,,,,,,
Bushwyck,N/A,spelling error/neighborhood in Brooklyn borough,,,,,,
Champlain,Jefferson,transposed place name/voting count is for a different town (Champion) in that county according to tufts NNV (ny.lieutenantgovernor.1811),,,,,,
Clarkstown,Richmond,incorrectly listed in Richmond County; NNV online correctly lists it in Rockland,,,,,,
Flat Lands,Kings,spelling error/neighborhood in Brooklyn borough,,,,,,
Flat-Lands,Kings,spelling error/neighborhood in Brooklyn borough,,,,,,
Flatland,Kings,spelling error/neighborhood in Brooklyn borough,,,,,,
Flatlands,Kings,neighborhood in Brooklyn borough,,,,,,
Flatlands,N/A,neighborhood in Brooklyn borough,,,,,,
Flatnbush,Kings,neighborhood in Brooklyn borough,,,,,,
Flatnbush,N/A,neighborhood in Brooklyn borough,,,,,,
Florida,Montgomery,"incorrectly joined to Florida, Orange co. in CCD (duplicate town)",,,,,,
Graves End,Kings,spelling error/neighborhood in Brooklyn borough,,,,,,
Gravesend,Kings,neighborhood in Brooklyn borough,,,,,,
Gravesend,N/A,neighborhood in Brooklyn borough,,,,,,
Greenbush,Ontario,Error in the County field; election id correctly notes Rensselaer,,,,,,
Manor Castletown,Richmond,Castleton (Manor Castletown) was dissolved in 1898 upon the consolidation into the City of New York,,,,,,
Martinsburgh,Kings,Error in the County field; election id correctly notes Lewis,,,,,,
Middleburgh,Schenectady,Error in the County field; NNV online correctly notes Schoharie,,,,,,
Morissiania,Bronx,neighborhood in Bronx borough,,,,,,
Morrisannia,Bronx,spelling error/neighborhood in Bronx borough,,,,,,
Ostego,Otsego,spelling error/incorrectly joined to Oswego in CCD ,,,,,,
Otego,Ostego,spelling error/incorrectly joined to Oswego in CCD ,,,,,,
Otego,Otsego,spelling error/incorrectly joined to Oswego in CCD ,,,,,,
Pinkney,Kings,Error in the County field; election id correctly notes Lewis,,,,,,
Rensselaer,Rensselaer,is Rensselaerswyck/Colonial estate (first Dutch patroonship then English manor),,,,,,
Rensselaerwick,Rensselaer,Colonial estate (first Dutch patroonship then English manor) ,,,,,,
Rensselaerwyck,Albany,Colonial estate (first Dutch patroonship then English manor) ,,,,,,
Rensselaerwyck,Albany (East),Colonial estate (first Dutch patroonship then English manor) ,,,,,,
Rensselaerwyck,E. Albany,Colonial estate (first Dutch patroonship then English manor) ,,,,,,
Rensselaerwyck,Rensselaer,Colonial estate (first Dutch patroonship then English manor) ,,,,,,
Renssellaerwick,Rensselaer,Colonial estate (first Dutch patroonship then English manor) ,,,,,,
West Chester,Westchester,spelling error/Disolved into New York City,,,Rumsey,,,
West-Chester,Westchester,spelling error/Disolved into New York City,,,Rumsey,,,
Westchester,Westchester,Disolved into New York City,,,Rumsey,,,
Westchester,Westchester (Lower),Disolved into New York City,,,Rumsey,,,
