nnv_town,standardized_town,notes,source
Oswego,Owego,,
Owesco,Owasco,,
Oyster-Bay,Oyster Bay,,
Oysterbay,Oyster Bay,,
Palentine,Palatine,,
Palmira,Palmyra,,
Paltz,New Paltz,,
Paulings,Pawling,,
Pawlings,Pawling,,
Perrysburgh,Perrysburg,,
Petersborough,Petersburgh,,
Peterborough,Petersburgh,,
Peterburgh,Petersburgh,,
Petersburg,Petersburgh,,
Pew,Peru,,
Philips,Philipstown,,
Phillipe,Philipstown,,
Phillips,Philipstown,,
Phillipstown,Philipstown,,
Pickney,Pinckney,,
Pinfield,Penfield,,
Pinkney,Pinckney,,
